Fecha,Partido,Competición,Duración,Equipo,Seleccionar esquema,Goles,xG,Tiros totales,Tiros a portería,% tiros portería,Pases intentados,Pases logrados,% pases,"Posesión del balón, %",Balones perdidos totales,Balones perdidos inicio,Balones perdidos medio,Balones perdidos último tercio,Balones recuperados totales,Balones recuperados inicio,Balones recuperados medio,Balones recuperados último tercio,Duelos totales,Duelos ganados,% duelos ganados
2026-01-18,Cacereño - Arenas Club 2:0,Spain. Primera Division RFEF,98.0,Arenas Club,4-1-4-1 (100.0%),0.0,1.34,10.0,2.0,20.0,441.0,361.0,81.86,60.15,117.0,24.0,45.0,48.0,81.0,49.0,26.0,6.0,250.0,117.0,46.8
2026-01-18,Cacereño - Arenas Club 2:0,Spain. Primera Division RFEF,98.0,Cacereño,4-2-3-1 (84.98%),2.0,1.94,9.0,4.0,44.44,261.0,190.0,72.8,39.85,105.0,17.0,34.0,54.0,75.0,37.0,27.0,11.0,250.0,121.0,48.4
2026-01-24,Osasuna Promesas - Arenas Club 2:3,Spain. Primera Division RFEF,98.0,Arenas Club,4-1-4-1 (100.0%),3.0,0.82,8.0,5.0,62.5,288.0,211.0,73.26,36.55,111.0,32.0,47.0,32.0,88.0,49.0,30.0,9.0,238.0,111.0,46.64
2026-01-24,Osasuna Promesas - Arenas Club 2:3,Spain. Primera Division RFEF,98.0,Osasuna Promesas,4-2-3-1 (69.69%),2.0,3.09,21.0,8.0,38.1,490.0,408.0,83.27,63.45,122.0,14.0,35.0,73.0,89.0,26.0,40.0,23.0,238.0,118.0,49.58
2026-02-01,Arenas Club - Ourense CF 2:1,Spain. Primera Division RFEF,102.0,Arenas Club,4-1-4-1 (100.0%),2.0,1.02,10.0,5.0,50.0,437.0,340.0,77.8,43.95,116.0,22.0,48.0,46.0,85.0,53.0,30.0,2.0,207.0,101.0,48.79
2026-02-01,Arenas Club - Ourense CF 2:1,Spain. Primera Division RFEF,102.0,Ourense CF,4-2-3-1 (58.15%),1.0,1.86,14.0,5.0,35.71,488.0,392.0,80.33,56.05,120.0,7.0,38.0,75.0,86.0,33.0,34.0,19.0,207.0,94.0,45.41
2026-02-08,Guadalajara - Arenas Club 1:0,Spain. Primera Division RFEF,98.0,Arenas Club,4-1-4-1 (100.0%),0.0,0.65,7.0,0.0,0.0,373.0,290.0,77.75,47.29,115.0,27.0,44.0,44.0,99.0,44.0,36.0,19.0,235.0,122.0,51.91
2026-02-08,Guadalajara - Arenas Club 1:0,Spain. Primera Division RFEF,98.0,Guadalajara,4-2-3-1 (100.0%),1.0,1.34,12.0,6.0,50.0,434.0,353.0,81.34,52.71,126.0,24.0,41.0,61.0,95.0,43.0,33.0,19.0,235.0,105.0,44.68
2026-02-14,Arenas Club - Ponferradina 0:1,Spain. Primera Division RFEF,99.0,Arenas Club,4-2-3-1 (100.0%),0.0,0.77,8.0,0.0,0.0,428.0,323.0,75.47,53.77,167.0,38.0,76.0,53.0,106.0,57.0,42.0,7.0,207.0,96.0,46.38
2026-02-14,Arenas Club - Ponferradina 0:1,Spain. Primera Division RFEF,99.0,Ponferradina,4-4-2 (100.0%),1.0,0.72,12.0,2.0,16.67,355.0,247.0,69.58,46.23,151.0,20.0,54.0,77.0,128.0,41.0,62.0,25.0,207.0,106.0,51.21
2026-02-21,Unionistas de Salamanca - Arenas Club 2:0,Spain. Primera Division RFEF,107.0,Arenas Club,4-3-3 (50.41%),0.0,0.54,9.0,1.0,11.11,398.0,318.0,79.9,55.28,110.0,14.0,46.0,50.0,62.0,36.0,20.0,6.0,230.0,102.0,44.35
